Date (yyyy),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
2031,9.610394605121531e-10,3.365078474290401e-07,1.716270940592786e-08,0.08608714856697729,0.011375179236189185,24.676126136151158,1.095371627759546,0.0499967336467207,0.04728252261438954,0.09727925628409019
2032,9.745198929539794e-10,3.4473183772253275e-07,1.8736204145050976e-08,0.08982765459868268,0.01238769214986996,24.5561204668835,1.095030721202859,0.05322790681168263,0.048250986583158496,0.101478893336047
2033,1.033557183634813e-09,3.6655099477249226e-07,2.0226156902023814e-08,0.09168366806796265,0.012711400998394405,24.38894302407348,1.095333737902408,0.05674892905209398,0.049462099394479514,0.10621102846295956
2034,9.72802415586101e-10,3.5187307714068225e-07,1.7092202932934185e-08,0.08698463828465695,0.010773647018622727,24.278345567599562,1.095258231538837,0.05388929265559427,0.04822323974621132,0.10211253237198775
2035,9.213156382437096e-10,3.443231394523967e-07,1.4819944773803078e-08,0.08641690590060168,0.01027468561946016,24.345642654504612,1.095104240139534,0.05051559066075297,0.04807046884473173,0.09858605947708832
2036,9.016280596149107e-10,3.3685066607750895e-07,1.4150962783182944e-08,0.08580464037504332,0.010056865309777025,24.680837223206066,1.0958349113579284,0.0478241156109837,0.047513055053150795,0.0953371706616078
2037,9.063876608035593e-10,3.3600541575533405e-07,1.4342563626261321e-08,0.08463744340416317,0.00961834388072671,24.828889392464756,1.0972338840349216,0.04718767506236891,0.04730604586851539,0.09449372090963164
2038,8.811775940195528e-10,3.2658416431287075e-07,1.532174543792741e-08,0.08350116852123857,0.009994776238136547,24.893432968659145,1.0972931585390626,0.04669266468909994,0.046762966887231076,0.09345563158291821
2039,8.843860051253951e-10,3.264580808170005e-07,1.5433813989927185e-08,0.08380235320217687,0.010230434998807195,25.083934179498897,1.097540829998229,0.04688357890255282,0.04657917679129386,0.09346275569603159
2040,9.262965679141327e-10,3.4206472778282867e-07,1.833656934709732e-08,0.08803538165844504,0.011867279090298345,25.04211445175578,1.0974774065929347,0.049720515064122374,0.047624413533964155,0.09734492857173871
2041,9.354849495478625e-10,3.457292324933004e-07,1.8104837648221903e-08,0.08626703081298702,0.011171250459554022,24.95083744978076,1.0977465958041004,0.05119173537894863,0.047056730168199064,0.09824846551430938
2042,9.001848241387263e-10,3.338671091551706e-07,1.757403098631789e-08,0.08530295615734745,0.011140200083708569,24.91829205560674,1.097517495383628,0.04885995508603935,0.04695201840002595,0.09581197354603499
2043,8.996910996528284e-10,3.4117842509991997e-07,1.6878487607554697e-08,0.08459009963343085,0.010580673862445066,24.993436266822485,1.0972704513943816,0.049391408863407975,0.047121012175202835,0.09651242099981354
2044,8.585059819974916e-10,3.204388477805362e-07,1.4919753867303847e-08,0.08170185386636981,0.009878857931027043,25.273776642853147,1.0986450302275912,0.04610394393381817,0.04589623079340401,0.09200017472949366
2045,9.444035228117887e-10,3.554614763314506e-07,1.955471592541846e-08,0.08737022522714893,0.011346510731808547,24.84764364917369,1.099679295375392,0.05253240450726266,0.04841704114115831,0.10094944571083032
2046,8.551374456762201e-10,3.298009436488189e-07,1.4424053947512965e-08,0.0816385424749128,0.009267574377922283,24.918973233803314,1.100238214590997,0.04693951093701334,0.04647609975308372,0.09341561065024122
2047,7.994439377837429e-10,3.2249896293022765e-07,1.1610316656314757e-08,0.07883504134179725,0.007920787610396152,25.331718621306152,1.1000631268867036,0.04233597500012351,0.04475234036136918,0.0870883153580943
2048,7.990311795608646e-10,3.195616002228293e-07,1.2805360728937605e-08,0.08094580794713514,0.008981140976655788,25.31652101964507,1.100027575840488,0.04269303751703637,0.04512797663472549,0.0878210141147513
2049,9.029377441770414e-10,3.5560933639687625e-07,1.859439737547155e-08,0.0879037478975014,0.011182559772213186,24.718367855498695,1.1009097138593484,0.051333209748086056,0.04808980945636352,0.09942301913105094
2050,9.120030546417709e-10,3.474969192489965e-07,1.8209345059387133e-08,0.08477889331936718,0.010723117812324432,24.891209490612425,1.1018069511380288,0.05109896326586998,0.04754417339867164,0.098643136655762
2051,8.083676388839256e-10,3.1832705749913887e-07,1.4189891331107816e-08,0.08058469458408128,0.009402172515315154,25.340856856965804,1.1012497272425634,0.04523043306561795,0.04543927538570097,0.09066970846036039
2052,8.358314867779528e-10,3.4328473042712525e-07,1.6110764547941126e-08,0.08408437258251018,0.010094805815710093,25.16257204793436,1.101373457779816,0.04771596752626889,0.04676815699365594,0.09448412453537536
2053,7.918766484427503e-10,3.144480994462821e-07,1.3510139609591501e-08,0.07880539810793098,0.008905925667525098,25.327683539298423,1.1022487140105868,0.04420781583295874,0.045406693851474805,0.08961450968128258
2054,7.484102324532633e-10,2.976479567319979e-07,1.3219410776580615e-08,0.0789069432485902,0.00915263227411661,25.666626022414544,1.1029900269643644,0.04045835488018453,0.044266565000252105,0.0847249199347677
2055,8.213158382195876e-10,3.358308961861587e-07,1.9024273921357024e-08,0.0858760246976664,0.011469620009486,25.334368881601733,1.1041694962032884,0.048444103428507836,0.046680120847322724,0.09512422427683824
2056,8.046463353754081e-10,3.2168375504869875e-07,1.5835702151761343e-08,0.08072231772805218,0.009883558252639249,25.441682797135872,1.106029816308953,0.045826050915337764,0.0451922237441823,0.09101827466320549
2057,7.433592014998741e-10,3.1721845259897514e-07,1.3453440581036116e-08,0.08013407530952237,0.00922146740516678,25.533522884676362,1.106401562347105,0.04299748322034427,0.045149268671448674,0.08814675192273459
2058,7.132802201729217e-10,3.0198793640829926e-07,1.1343849559754678e-08,0.07748299230419611,0.008289539192405888,25.737026187745172,1.1067260169499349,0.039889268269924706,0.04393243345744725,0.08382170174435404
2059,8.280216587913974e-10,3.508127392146682e-07,1.8503438660242334e-08,0.0868312888990954,0.011238461615332478,25.1774592931059,1.1072075775549262,0.049181038379570774,0.047338931219907836,0.09651996960043195
2060,7.399707809072477e-10,3.1278542514747385e-07,1.3001493203550225e-08,0.078155145113414,0.008625483139492452,25.492099937711103,1.1087822427852119,0.04326275913429766,0.04478496574326755,0.08804772486867625
2061,7.27109698722984e-10,3.152118616871567e-07,1.3963708578697513e-08,0.08062963117071308,0.009471241982813796,25.456451716333678,1.1096496762483943,0.04317540425163554,0.045721025077447554,0.0888964293238317
2062,7.562676095836766e-10,3.293620801985984e-07,1.5480724242746368e-08,0.08152329504179408,0.009671210747936242,25.182172581010416,1.1111996297036093,0.0461752807224868,0.046621253558360935,0.09279653426593842
2063,6.906284565681461e-10,2.97511050018195e-07,1.186367668156758e-08,0.07606396365719593,0.007963840365775094,25.86437487522031,1.1129664722368438,0.03955079180552797,0.04376870960346222,0.08331950139511794
2064,6.951298893151044e-10,3.0536422777678407e-07,1.4018869911027406e-08,0.08057535980759113,0.009694310291767675,25.567082545769377,1.113927776895087,0.04119520313190506,0.04522933376621529,0.08642453688938558
2065,7.70079056341222e-10,3.35111634089635e-07,1.805082425306409e-08,0.08257843273904279,0.010750045930623548,25.602442989758654,1.1149940960901288,0.04625963409980147,0.04661273173671345,0.09287236583036705
2066,7.305288851238251e-10,3.1676747431483123e-07,1.4613117906720435e-08,0.0790211895222437,0.009438290788511392,25.758161361096242,1.1165255725120053,0.04317330421462864,0.04489074667806314,0.08806405084993446
