Date (yyyy),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
2030,3.0549614368506473e-09,2.596852551088893e-07,2.583830208163455e-08,0.2050869268513685,0.029969758179185443,24.36520687225053,-0.3633398656194258,0.0688987058592057,0.05256540164856913,0.12146410747855833
2031,2.357078247119504e-09,2.458277621224969e-07,1.3368711920559532e-08,0.19545570700664786,0.020945652552205794,24.232013252011058,-0.36224453957668085,0.06186140372366614,0.0488528052168897,0.11071420895575058
2032,2.1571851974835993e-09,2.2334179261454866e-07,1.3369305079364995e-08,0.19550173965759196,0.02123160577881901,24.345764589042293,-0.3617842068902069,0.057823079349026744,0.04477007036334038,0.10259314970657274
2033,2.2889301909014284e-09,2.385620421413083e-07,1.523698447080765e-08,0.1962083237486568,0.022311684838551688,24.516643979523696,-0.3606049094548773,0.058648798896969195,0.04625443007970393,0.10490322896832095
2034,2.5356934314016263e-09,2.5473345718944003e-07,1.6783701551126087e-08,0.19687745272493104,0.022974961692307744,24.600171049627306,-0.35918253982735376,0.06116117784224848,0.04817740436817528,0.10933858218969598
2035,2.744939078975477e-09,2.661167851967786e-07,1.861735808064487e-08,0.1985258676892094,0.02347896315611607,24.46126375576122,-0.35803863947294984,0.06496978125563264,0.05237131465154262,0.11734109593552383
2036,2.5206234985827346e-09,2.5754243147980736e-07,1.461425692296581e-08,0.1956626501430725,0.0212896526290855,24.182612893545265,-0.3576927753481965,0.06279449506725003,0.04949945196781346,0.11229394706010819
2037,1.9421846508072016e-09,2.2123669905300648e-07,1.0196051883157573e-08,0.19326909327198097,0.019728087660355133,24.595310466402577,-0.3574784509328315,0.055761190252342906,0.0432258008783425,0.09898699112929753
2038,1.7531382043463869e-09,2.038110953436376e-07,1.012222324755114e-08,0.19439698230465915,0.02041294516114388,25.242623777970227,-0.35708012437554726,0.05260626994072252,0.041010450921632406,0.09361672088288171
2039,2.0664055339080333e-09,2.3552603057220632e-07,1.2171506794738749e-08,0.19392800553098644,0.020973752260450753,24.82046197527681,-0.3555223675597557,0.05569347180901626,0.045671171004288164,0.10136464284474363
2040,2.0861809495298295e-09,2.2610021169725692e-07,1.185877935944786e-08,0.19376541839453196,0.020167924448644643,24.940917249517494,-0.3546551092418815,0.054696499136599,0.04350445631593913,0.09820095548189699
